,,,,,,,revenue_per_person,customer_type 
,,,,,,,197.2425,Transient
,,,,,,,147.665,Transient
,,,,,,,665,Transient
,,,,,,,58,Transient
,,,,,,,59.33333333,Transient
,,,,,,,112.5,Transient
,,,,,,,149.5,Transient
,,,,,,,299,Transient
,,,,,,,84.75,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,112,Transient
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,62.66666667,Transient
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,42.5,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,100.005,Transient
,,,,,,,0,Transient-Party
,,,,,,,187.5,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,182.7,Transient
,,,,,,,182.7,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,104.4,Transient
,,,,,,,220,Transient
,,,,,,,290,Transient
,,,,,,,145,Transient
,,,,,,,492.8,Transient-Party
,,,,,,,502.81,Transient-Party
,,,,,,,116,Transient
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,102,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,127.5,Transient
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,102,Transient-Party
,,,,,,,224,Transient
,,,,,,,0,Transient
,,,,,,,38.5,Transient
,,,,,,,45,Transient-Party
,,,,,,,106.5,Transient
,,,,,,,97.5,Transient
,,,,,,,227.5,Transient
,,,,,,,215.25,Transient
,,,,,,,236,Transient-Party
,,,,,,,29,Transient
,,,,,,,30.75,Transient
,,,,,,,29,Transient
,,,,,,,35.1,Transient-Party
,,,,,,,224,Transient
,,,,,,,224,Transient
,,,,,,,190.5,Transient
,,,,,,,245.7,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient-Party
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,252,Transient
,,,,,,,57.53333333,Transient
,,,,,,,107,Transient
,,,,,,,144,Transient
,,,,,,,130,Transient
,,,,,,,335.3,Transient-Party
,,,,,,,335.3,Transient-Party
,,,,,,,260.575,Transient-Party
,,,,,,,240.31,Transient-Party
,,,,,,,321.3,Transient-Party
,,,,,,,260.575,Transient-Party
,,,,,,,260.575,Transient-Party
,,,,,,,260.575,Transient-Party
,,,,,,,260.575,Transient-Party
,,,,,,,321.3,Transient-Party
,,,,,,,253.575,Transient-Party
,,,,,,,240.31,Transient-Party
,,,,,,,240.31,Transient-Party
,,,,,,,260.575,Transient
,,,,,,,260.575,Transient-Party
,,,,,,,260.575,Transient-Party
,,,,,,,335.3,Transient-Party
,,,,,,,335.3,Transient-Party
,,,,,,,240.31,Transient-Party
,,,,,,,253.575,Transient-Party
,,,,,,,98.005,Transient-Party
,,,,,,,253.575,Transient-Party
,,,,,,,45,Transient
,,,,,,,126,Transient
,,,,,,,316,Transient
,,,,,,,234.675,Transient
,,,,,,,234.675,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,182.7,Transient
,,,,,,,234.675,Transient
,,,,,,,234.675,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,234.675,Transient
,,,,,,,234.675,Transient
,,,,,,,234.675,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,160,Transient
,,,,,,,190,Transient
,,,,,,,162.5,Transient
,,,,,,,245,Transient
,,,,,,,385,Transient
,,,,,,,170,Transient
,,,,,,,182.7,Transient
,,,,,,,234.675,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,234.675,Transient
,,,,,,,234.675,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,540,Transient
,,,,,,,266.175,Transient
,,,,,,,266.175,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,86,Transient
,,,,,,,182.7,Transient
,,,,,,,182.7,Transient
,,,,,,,248.2,Transient
,,,,,,,560,Transient-Party
,,,,,,,560,Transient-Party
,,,,,,,56,Transient
,,,,,,,168,Transient
,,,,,,,32.5,Transient
,,,,,,,136.5,Transient
,,,,,,,202,Transient
,,,,,,,32.5,Transient
,,,,,,,75,Transient
,,,,,,,118,Transient
,,,,,,,65,Transient
,,,,,,,118,Transient
,,,,,,,118,Transient
,,,,,,,118,Transient
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,42.5,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,170,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,102.5,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,0,Transient-Party
,,,,,,,202.5,Transient
,,,,,,,160.2,Transient
,,,,,,,229.075,Transient
,,,,,,,182.7,Transient
,,,,,,,130.9,Transient
,,,,,,,186.48,Transient
,,,,,,,32.5,Transient
,,,,,,,116.4,Transient
,,,,,,,113.78,Transient
,,,,,,,124.5,Transient
,,,,,,,105.75,Transient
,,,,,,,203,Transient
,,,,,,,228.825,Transient
,,,,,,,29.5,Transient
,,,,,,,42.5,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,87,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,0,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,87,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,87,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,127.5,Transient
,,,,,,,158,Transient
,,,,,,,176.4,Transient
,,,,,,,130.5,Transient
,,,,,,,156.6,Transient
,,,,,,,308.7,Transient
,,,,,,,220.5,Transient
,,,,,,,390.4,Transient-Party
,,,,,,,374.4,Transient-Party
,,,,,,,165.6,Transient
,,,,,,,390.4,Transient-Party
,,,,,,,390.4,Transient-Party
,,,,,,,273.68,Transient-Party
,,,,,,,310.25,Transient-Party
,,,,,,,312.5,Transient
,,,,,,,310.25,Transient-Party
,,,,,,,29.5,Transient-Party
,,,,,,,50,Transient-Party
,,,,,,,117.84,Transient
,,,,,,,104.4,Transient
,,,,,,,212.5,Transient
,,,,,,,211.05,Transient
,,,,,,,177.975,Transient
,,,,,,,242.76,Transient-Party
,,,,,,,242.76,Transient-Party
,,,,,,,182.7,Transient
,,,,,,,310.52,Transient
,,,,,,,106.2,Transient
,,,,,,,242.76,Transient-Party
,,,,,,,242.76,Transient-Party
,,,,,,,242.76,Transient-Party
,,,,,,,242.76,Transient-Party
,,,,,,,177.975,Transient
,,,,,,,310.52,Transient
,,,,,,,242.76,Transient-Party
,,,,,,,242.76,Transient-Party
,,,,,,,177.975,Transient
,,,,,,,310.52,Transient
,,,,,,,211.05,Transient
,,,,,,,302.015,Transient
,,,,,,,242.76,Transient-Party
,,,,,,,242.76,Transient-Party
,,,,,,,211.05,Transient
,,,,,,,177.975,Transient
,,,,,,,310.52,Transient
,,,,,,,211.05,Transient-Party
,,,,,,,212.4,Transient
,,,,,,,630.98,Transient
,,,,,,,58.5,Transient-Party
,,,,,,,211.75,Transient
,,,,,,,42,Transient
,,,,,,,36.5,Transient
,,,,,,,88,Transient
,,,,,,,94,Transient
,,,,,,,84,Transient
,,,,,,,79.47,Transient-Party
,,,,,,,70.47,Transient-Party
,,,,,,,176.4,Transient
,,,,,,,170,Transient
,,,,,,,206.325,Transient
,,,,,,,308,Transient
,,,,,,,95,Transient
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,138,Transient-Party
,,,,,,,102,Transient
,,,,,,,85.33,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,132.3,Transient
,,,,,,,0,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient
,,,,,,,57,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,138,Transient-Party
,,,,,,,161,Transient
,,,,,,,203,Transient
,,,,,,,161,Transient
,,,,,,,203,Transient
,,,,,,,203,Transient
,,,,,,,245,Transient
,,,,,,,248.5,Transient
,,,,,,,203,Transient
,,,,,,,203,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,203,Transient
,,,,,,,203,Transient
,,,,,,,427,Transient
,,,,,,,161,Transient
,,,,,,,245,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,245,Transient
,,,,,,,87,Transient
,,,,,,,37.5,Transient
,,,,,,,49.3,Transient
,,,,,,,52.2,Transient
,,,,,,,73,Transient
,,,,,,,80,Transient
,,,,,,,127.5,Transient
,,,,,,,127.995,Transient
,,,,,,,197.5,Transient
,,,,,,,182.5,Transient
,,,,,,,104.4,Transient
,,,,,,,178,Transient
,,,,,,,156.6,Transient
,,,,,,,152.55,Transient
,,,,,,,142.66,Transient
,,,,,,,378,Transient
,,,,,,,378,Transient
,,,,,,,144.655,Transient
,,,,,,,340,Transient
,,,,,,,329,Transient-Party
,,,,,,,56,Transient-Party
,,,,,,,329,Transient-Party
,,,,,,,329,Transient-Party
,,,,,,,40.5,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,210.24,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,337.5,Transient
,,,,,,,155.5,Transient
,,,,,,,182.7,Transient
,,,,,,,199.325,Transient
,,,,,,,154,Transient
,,,,,,,29,Transient
,,,,,,,86.24,Transient
,,,,,,,87,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,127.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,97.5,Transient
,,,,,,,170,Transient
,,,,,,,104.4,Transient
,,,,,,,170,Transient
,,,,,,,94,Transient-Party
,,,,,,,212.5,Transient
,,,,,,,218.75,Transient
,,,,,,,257.495,Transient
,,,,,,,198.7475,Transient
,,,,,,,1270.5,Transient
,,,,,,,94,Transient-Party
,,,,,,,29.5,Transient
,,,,,,,60,Transient
,,,,,,,46,Transient
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,60,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,60,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,130.5,Transient
,,,,,,,120,Transient
,,,,,,,144,Transient
,,,,,,,156.4,Transient
,,,,,,,380,Transient
,,,,,,,580.65,Transient
,,,,,,,36,Transient-Party
,,,,,,,36,Transient-Party
,,,,,,,52.2,Transient
,,,,,,,127.995,Transient-Party
,,,,,,,127.995,Transient-Party
,,,,,,,108,Transient-Party
,,,,,,,377.01,Transient
,,,,,,,108,Transient-Party
,,,,,,,108,Transient-Party
,,,,,,,108,Transient-Party
,,,,,,,136,Transient
,,,,,,,277.2,Transient
,,,,,,,292.95,Transient
,,,,,,,198,Transient
,,,,,,,29.5,Transient
,,,,,,,65,Transient
,,,,,,,65,Transient
,,,,,,,118.8,Transient
,,,,,,,118.8,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,78.66,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,135.5,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,160,Transient
,,,,,,,32.5,Transient
,,,,,,,32.5,Transient
,,,,,,,56,Transient
,,,,,,,160,Transient
,,,,,,,85,Transient
,,,,,,,23,Transient
,,,,,,,73,Transient
,,,,,,,80,Transient
,,,,,,,52.2,Transient
,,,,,,,86.5,Transient
,,,,,,,115.005,Transient
,,,,,,,132.495,Transient
,,,,,,,169.5,Transient
,,,,,,,187.2,Transient
,,,,,,,111.495,Transient
,,,,,,,46.98,Transient
,,,,,,,92.25,Transient
,,,,,,,84.75,Transient
,,,,,,,163.005,Transient
,,,,,,,120.33,Transient
,,,,,,,124.005,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,190,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,131.4,Transient
,,,,,,,168,Transient
,,,,,,,168,Transient
,,,,,,,234,Transient
,,,,,,,168,Transient
,,,,,,,131.4,Transient
,,,,,,,168,Transient
,,,,,,,164.5,Transient-Party
,,,,,,,203,Transient
,,,,,,,273,Transient
,,,,,,,164.5,Transient-Party
,,,,,,,273,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,203,Transient
,,,,,,,203,Transient
,,,,,,,245,Transient
,,,,,,,164.5,Transient-Party
,,,,,,,164.5,Transient-Party
,,,,,,,210,Transient-Party
,,,,,,,203,Transient
,,,,,,,203,Transient
,,,,,,,203,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,161,Transient
,,,,,,,203,Transient
,,,,,,,352,Transient
,,,,,,,180,Transient-Party
,,,,,,,365.4,Transient
,,,,,,,554.4,Transient
,,,,,,,617.4,Transient
,,,,,,,80,Transient
,,,,,,,40,Transient
,,,,,,,42.5,Transient
,,,,,,,37.5,Transient
,,,,,,,80,Transient
,,,,,,,41.25,Transient
,,,,,,,85,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,127,Transient
,,,,,,,86,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,77.5,Transient
,,,,,,,85,Transient-Party
,,,,,,,89,Transient
,,,,,,,91,Transient
,,,,,,,86,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,86,Transient-Party
,,,,,,,127,Transient
,,,,,,,48.06,Transient
,,,,,,,85,Transient-Party
,,,,,,,200,Transient
,,,,,,,104.4,Transient
,,,,,,,176.4,Transient
,,,,,,,104.4,Transient
,,,,,,,327.495,Transient
,,,,,,,226.905,Contract
,,,,,,,238,Transient
,,,,,,,327.495,Transient
,,,,,,,164.43,Transient
,,,,,,,164.43,Transient
,,,,,,,149.6,Transient
,,,,,,,253.8,Transient
,,,,,,,459.9,Transient
,,,,,,,459.9,Transient
,,,,,,,147.9333333,Contract
,,,,,,,62.5,Transient
,,,,,,,108,Transient
,,,,,,,146,Transient
,,,,,,,237.5,Transient
,,,,,,,211.2,Transient
,,,,,,,211.2,Transient
,,,,,,,164.43,Transient
,,,,,,,33.75,Transient
,,,,,,,35,Transient
,,,,,,,85,Transient
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,42.5,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,85,Transient
,,,,,,,85,Transient-Party
,,,,,,,109,Transient-Party
,,,,,,,85,Transient
,,,,,,,109,Transient-Party
,,,,,,,85,Transient-Party
,,,,,,,84.75,Transient
,,,,,,,135,Transient
,,,,,,,190,Transient
,,,,,,,126,Transient
,,,,,,,104.4,Transient
,,,,,,,140.94,Transient
,,,,,,,219,Transient
,,,,,,,177.975,Transient
,,,,,,,182.7,Transient
,,,,,,,203,Transient
,,,,,,,182.7,Transient
,,,,,,,182.7,Transient
,,,,,,,177.975,Transient
,,,,,,,182.7,Transient
,,,,,,,253.75,Transient
,,,,,,,424.8,Transient
,,,,,,,233.75,Transient
,,,,,,,261.66,Transient
,,,,,,,195.405,Contract
,,,,,,,203,Transient
,,,,,,,308,Transient
,,,,,,,261.66,Transient
,,,,,,,196.385,Contract
,,,,,,,328.5,Transient
,,,,,,,259.9875,Transient
,,,,,,,236.52,Transient
,,,,,,,87,Transient
,,,,,,,36.9,Transient
,,,,,,,65.6,Transient
,,,,,,,143.4,Transient
,,,,,,,270,Transient
,,,,,,,88,Transient
,,,,,,,78.3,Transient
,,,,,,,142.5,Transient
,,,,,,,97.96,Transient
,,,,,,,131.4,Transient-Party
,,,,,,,128,Transient
,,,,,,,93.96,Transient
,,,,,,,176,Transient
,,,,,,,97.96,Transient
,,,,,,,220.15,Contract
,,,,,,,234.0333333,Transient
,,,,,,,130.9,Contract
,,,,,,,367.92,Transient
,,,,,,,0,Contract
,,,,,,,70,Transient
,,,,,,,42,Transient
,,,,,,,88.2,Transient
,,,,,,,109.5,Transient
,,,,,,,98.55,Transient-Party
,,,,,,,149.5,Transient
,,,,,,,237.5,Transient
,,,,,,,296.75,Transient
,,,,,,,186,Transient
,,,,,,,195,Transient
,,,,,,,131.46,Transient
,,,,,,,229.95,Transient
,,,,,,,229.95,Transient
,,,,,,,511,Transient
,,,,,,,142.66,Transient
,,,,,,,280,Transient
,,,,,,,316.8,Transient
,,,,,,,124.5,Transient
,,,,,,,48.5,Transient
,,,,,,,65,Transient
,,,,,,,79.2,Transient
,,,,,,,236,Transient
,,,,,,,58,Transient
,,,,,,,87,Transient
,,,,,,,255.5,Transient
,,,,,,,228.9,Contract
,,,,,,,177.065,Transient
,,,,,,,297.5,Transient-Party
,,,,,,,308,Transient
,,,,,,,145.67,Transient
,,,,,,,183.96,Transient
,,,,,,,170.625,Contract
,,,,,,,97.2,Transient-Party
,,,,,,,41.4,Transient
,,,,,,,78,Transient
,,,,,,,97.2,Transient-Party
,,,,,,,115,Transient
,,,,,,,115,Transient
,,,,,,,70.2,Transient
,,,,,,,37.26,Transient
,,,,,,,166.1,Transient
,,,,,,,237.5,Transient
,,,,,,,213.5,Transient
,,,,,,,188.545,Transient
,,,,,,,336.15,Transient
,,,,,,,234.9,Transient
,,,,,,,294.75,Contract
,,,,,,,456.28,Contract
,,,,,,,35.5,Transient
,,,,,,,32.5,Transient
,,,,,,,112.5,Transient
,,,,,,,108,Transient
,,,,,,,97.5,Transient
,,,,,,,119.85,Transient
,,,,,,,229.95,Transient
,,,,,,,255.5,Transient
,,,,,,,224.315,Transient
,,,,,,,308,Transient
,,,,,,,356.4,Transient
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,60,Transient-Party
,,,,,,,60,Transient
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,46,Transient-Party
,,,,,,,190,Transient
,,,,,,,130.5,Transient
,,,,,,,130.5,Transient
,,,,,,,156.25,Transient
,,,,,,,281.6,Transient
,,,,,,,47.5,Transient-Party
,,,,,,,70,Transient-Party
,,,,,,,109.725,Transient
,,,,,,,274.96,Transient
,,,,,,,400.8,Transient
,,,,,,,67,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,210,Transient
,,,,,,,67,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,210,Transient
,,,,,,,53.33333333,Transient
,,,,,,,67,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,26,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,67,Transient-Party
,,,,,,,87,Transient-Party
,,,,,,,144,Transient-Party
,,,,,,,72,Transient-Party
,,,,,,,75,Transient-Party
,,,,,,,144,Transient-Party
,,,,,,,81,Transient-Party
,,,,,,,72,Transient-Party
,,,,,,,72,Transient-Party
,,,,,,,72,Transient-Party
,,,,,,,144,Transient-Party
,,,,,,,150,Transient-Party
,,,,,,,72,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,0,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
,,,,,,,96,Transient-Party
